,created_at,res,full_text,screen_name,followers_count,friends_count,retweet_count,favorite_count,Hashtag
1488,Thu Apr 01 17:29:15 +0000 2021,1,RT @IgnacioDiMeglio: THE REAL SHOWDOWN IS HERE! #GodzillaVsKong is a thing of the past. It´s time for #Killeroo Vs #GorillaMyDreams. Killer…,IgnacioDiMeglio,397,804,5,0,godzillavskong  .
1808,Tue Mar 23 17:03:29 +0000 2021,1,"RT @ankush_prashar: On #ShaheedDiwas, great salute to our martyrs #BhagatSingh #Sukhdev &amp; #Rajguru who laid down their lives for the freedo…",atuverma1,89,28,3,0,MartyrsDay
733,Fri Mar 26 04:56:26 +0000 2021,0,"RT @MANJULtoons: #GNCTDBill
My #cartoon for @firstpost
Telegram: https://t.co/0zuidcPdqY https://t.co/AAD6fyoaaR",seemamarch1,252,466,170,0,GNCTDBill
111,Mon Mar 22 03:33:35 +0000 2021,1,"RT @Nadeshot: Wow, #SnydersCut Justice League was absolutely phenomenal. Well worth the wait, all my expectations for the film were blown a…",JeniusKuya,71,674,392,0,snyderscut.
873,Wed Mar 31 04:44:38 +0000 2021,1,"RT @rishabh_memes: #instagramdown 
After going down Instagram coming back online be like : https://t.co/jqrPyNmtHe",wtf_ankur,2484,1335,69,69,instagramdown.
615,Sun Mar 21 11:45:22 +0000 2021,1,"RT @Sanskari_enough: Why is pubg banned
To remove game addiction
To be safe from many health problem
But FAUG is came here to make game add…",Chaital45921876,13,8,13,0,SavetheYouthBanFauG.
19,Tue Mar 23 15:37:56 +0000 2021,1,"Martyrs Day India
.
.
.
#MartyrsDay #imw #23RdMarch #23March #ShaheediDiwas #indomusicworld https://t.co/8CA3uZ8qB1",IndoMusicWorld1,2,2,0,0,MartyrsDay
1174,Tue Mar 23 15:27:34 +0000 2021,1,"RT @yssSamastipur: Tribute to Great &amp; brave Freedom Fighters of India.🙏

Today is the #MartyrsDay of #BhagatSingh, Sukhdev &amp; #Rajguru !

O…",sunilpardeshi99,846,1361,40,0,MartyrsDay
595,Sun Mar 21 12:01:40 +0000 2021,1,"RT @Olympics: Did you know that poetry used to be an official Olympic event? 📝

Here's an excerpt from Pierre de Coubertin's poem 'Ode to S…",RG_Team_Tokyo,1143,4999,2,0,WorldPoetryDay
1915,Sun Mar 21 11:58:39 +0000 2021,1,"RT @lufctrust: In celebration of #WorldPoetryDay we’ve worked with @MattAbbottPoet who has created this poem.

It’s read by a number of fan…",Timmy2litres,142,318,45,0,WorldPoetryDay
2319,Thu Mar 25 17:58:39 +0000 2021,1,"RT @TheAshokSingh: That's the New India, i want as a Citizen 

 #GNCTDBill #ChaprasiKejriwal",rajeevrana1,14527,14359,11,0,GNCTDBill
935,Sun Mar 21 10:58:05 +0000 2021,1,Tonight! 8pm! Can anyone beat @_JJboy22 ??? #SnydersCut #JusticeLeagueSnyderCut #JusticeLeague #DCEU https://t.co/RG2X6fb9Cr,djfail33221,52,164,1,1,snyderscut.
4,Sun Mar 21 12:53:17 +0000 2021,1,RT @KailasSabale2: 1.Scrap20%RRC Quota 4rail apprentices. 2.We r already qualified in ITI &amp; AITT exams with 3 yrs training. 3. So don't con…,Shubham41795193,83,5,2,0,modirozgardo
2144,Thu Mar 25 18:24:16 +0000 2021,1,"RT @ndtv: Watch | With the #GNCTDBill passed in parliament, all powers now rest with the Lieutenant Governor. BJP says it will streamline g…",Rajendr35280669,475,240,62,0,GNCTDBill
1399,Fri Mar 26 01:18:42 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",SyedSho81373777,83,1095,4882,0,GNCTDBill
2460,Mon Mar 22 04:07:54 +0000 2021,1,"On #WorldWaterDay, we need to raise awareness regarding how precious water is and the urgency to  conserve it for a sustainable environment. Our effort should be to conserve, reuse &amp; recycle water. Let us save every drop of water.",imsatyaD1906,173,243,1,1,WorldWaterDay.
151,Sun Mar 21 15:39:57 +0000 2021,1,"RT @j_cesardb: This scene is really amazing, I like how Zack Snyder managed to make me like Ezra Miller’s flash, it’s really an epic scene…",RoseanneJanuary,219,115,0,0,snyderscut.
935,Tue Mar 23 16:24:44 +0000 2021,0,"RT @saahilmenghani: Numbers shoot up at #FarmersProtest sites as young farmers arrive from villages on #MartyrsDay, #शहीद_दिवस.
SINGHU…",vinayshrivasta5,129,1185,590,0,MartyrsDay
519,Fri Mar 26 06:09:19 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",NavvDeep3,10,63,4882,0,GNCTDBill
812,Sun Mar 21 11:42:38 +0000 2021,1,"RT @BorisJohnson_MP: At Eton I used to play rugger
At Oxford I learned how to punt
Some say I'm a bit of a bugger
But most people think I'm…",pilatesepsom,282,545,50,0,WorldPoetryDay
1949,Wed Mar 31 04:51:19 +0000 2021,1,#instagramdown my Instagram is not working from last 2 days @instagram #down #instagramdown,AkshatMittal575,0,19,1,1,instagramdown.
538,Sat Mar 20 12:07:01 +0000 2021,1,@NitinRaut_INC साहेब कोरोना कालात राजस्थान मध्ये काँग्रेस ची सत्ता असताना नोकर भरती करू शकतात तर आपल्या महाराष्ट्रा… https://t.co/kw5FgdQInB,ASB04091,92,246,4,5,modirozgardo
71,Sun Mar 21 09:52:10 +0000 2021,1,@Ravishk356 #modi_rozgar_do  #modi_rojgar_do,OmYadev,4,26,0,0,modirozgardo
970,Fri Apr 02 03:53:43 +0000 2021,1,"Godzilla vs Kong is so fucking hype!
I got everything I wanted from that film and more!!!
Kong honestly stole the film though
#GodzillaVsKong",billy_skA,266,1177,0,0,godzillavskong  .
334,Tue Mar 23 16:25:17 +0000 2021,1,"RT @JSPVeeraMahila: ""Bhagat Singh willed to die for the Nation.""

- Inspirational words by @JanaSenaParty Chief Sri. @PawanKalyan 

#शहीद_…",USTHAAD_PSPK,1497,1142,147,0,MartyrsDay
