id,tweet_url,created_at,full_text,Labels,screen_name,followers,friends,rt,fav,geo,coordinates,lang
1375446290511753222,twitter.com/svictoriajust/status/1375446290511753222,Fri Mar 26 13:55:24 +0000 2021,"RT @souravjain540: Everyone is opposing #GNCTDBill  in Delhi 

Today in college all students in break was talking about this and saying thi…",0,svictoriajust,659,211,116,0,,,en
1375446192843198468,twitter.com/Kiran5_sai/status/1375446192843198468,Fri Mar 26 13:55:01 +0000 2021,"RT @ElonMast_: Condition of #ChaprasiKejriwal after Rajya Sabha passes #GNCTDBill 😂😂😂
*See full image* https://t.co/EoL7u2UqRr",0,Kiran5_sai,628,200,95,0,,,en
1375445804719071232,twitter.com/Kiranso71428216/status/1375445804719071232,Fri Mar 26 13:53:29 +0000 2021,"RT @AamAadmiParty: MUST WATCH 🔥

AAP MP @SanjayAzadSln roars inside the Rajya Sabha against Modi Govt's Unconstitutional #GNCTDBill https:/…",0,Kiranso71428216,0,6,1414,0,,,en
1375445419954606089,twitter.com/DRG1610/status/1375445419954606089,Fri Mar 26 13:51:57 +0000 2021,"RT @Nher_who: Few Days ago Swedish Institute reports called India an Electoral Autocracy

Today Modi Govt passed #GNCTDBill and snatched po…",0,DRG1610,2,17,846,0,,,en
1375444871046164489,twitter.com/sachinbyadav/status/1375444871046164489,Fri Mar 26 13:49:46 +0000 2021,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",0,sachinbyadav,38,206,6861,0,,,en
1375444036996132866,twitter.com/CBMANTRI123456/status/1375444036996132866,Fri Mar 26 13:46:27 +0000 2021,RT @aartic02: The Power of an Elected CM of Delhi has been Transferred to this man through an Unconstitutional #GNCTDBill https://t.co/pY9m…,0,CBMANTRI123456,609,464,106,0,,,en
1375442931419643908,twitter.com/AhmedIkram512/status/1375442931419643908,Fri Mar 26 13:42:04 +0000 2021,@ashwini294 @Sonal_MK Scrap #GNCTDBill,0,AhmedIkram512,27,50,0,0,,,en
1375442925752971265,twitter.com/indigokores/status/1375442925752971265,Fri Mar 26 13:42:02 +0000 2021,"RT @PostTruthIndia: BJP FEARED AAP's ENQUIRY INTO DELHI RIOTS👇🏼

Delhi Assembly's Peace &amp; Harmony Committee under AAP MLA @raghav_chadha wa…",0,indigokores,1062,545,162,0,,,en
1375442846350594050,twitter.com/CM92Q/status/1375442846350594050,Fri Mar 26 13:41:43 +0000 2021,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",0,CM92Q,246,421,6861,0,,,en
1375442690926473222,twitter.com/malik_mushaid/status/1375442690926473222,Fri Mar 26 13:41:06 +0000 2021,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",0,malik_mushaid,71,107,4881,0,,,en
1375442015748567048,twitter.com/Samarpr22156052/status/1375442015748567048,Fri Mar 26 13:38:25 +0000 2021,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",0,Samarpr22156052,31,41,6861,0,,,en
1375441820046356480,twitter.com/Wajahadalikhan/status/1375441820046356480,Fri Mar 26 13:37:39 +0000 2021,This bill shows that BJP is scared of @ArvindKejriwal #GNCTDBill,0,Wajahadalikhan,37,151,0,0,,,en
1375441275592220675,twitter.com/shakthigj/status/1375441275592220675,Fri Mar 26 13:35:29 +0000 2021,RT @FunMauji: .@ArvindKejriwal with the india's most powerful chief ministers. 🤣  #GNCTDBill https://t.co/qvLKH3UjGW,0,shakthigj,3281,4058,49,0,,,en
1375440871055712263,twitter.com/truthspeak20/status/1375440871055712263,Fri Mar 26 13:33:52 +0000 2021,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",0,truthspeak20,0,14,6861,0,,,en
1375439372791672836,twitter.com/ViralPa70988975/status/1375439372791672836,Fri Mar 26 13:27:55 +0000 2021,"RT @AamAadmiParty: MUST WATCH 🔥

AAP MP @SanjayAzadSln roars inside the Rajya Sabha against Modi Govt's Unconstitutional #GNCTDBill https:/…",0,ViralPa70988975,14,53,1414,0,,,en
1375438197585420291,twitter.com/ranjanpatel108/status/1375438197585420291,Fri Mar 26 13:23:15 +0000 2021,"RT @JaipurDialogues: @Sanjay_Dixit will be in the dock with @nidheeshgoyal on how Vaze have affected MVA, Bangladesh to Bengal Elections Tr…",1,ranjanpatel108,20711,7009,8,0,,,en
1375436765641666561,twitter.com/Adam82164113/status/1375436765641666561,Fri Mar 26 13:17:33 +0000 2021,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",0,Adam82164113,2,25,6861,0,,,en
1375436758469447687,twitter.com/HaryanviStewie/status/1375436758469447687,Fri Mar 26 13:17:32 +0000 2021,RT @FunMauji: .@ArvindKejriwal with the india's most powerful chief ministers. 🤣  #GNCTDBill https://t.co/qvLKH3UjGW,0,HaryanviStewie,68,122,49,0,,,en
1375436745118916609,twitter.com/Adam82164113/status/1375436745118916609,Fri Mar 26 13:17:29 +0000 2021,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",0,Adam82164113,2,25,4882,0,,,en
1375436545927213056,twitter.com/TheRichaSingh/status/1375436545927213056,Fri Mar 26 13:16:41 +0000 2021,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",0,TheRichaSingh,1105,136,4882,0,,,en
1375436375240097792,twitter.com/firdaus53127932/status/1375436375240097792,Fri Mar 26 13:16:00 +0000 2021,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",0,firdaus53127932,1,68,4882,0,,,en
1375436014643150852,twitter.com/BatteryDubble/status/1375436014643150852,Fri Mar 26 13:14:34 +0000 2021,"RT @aartic02: Bjp is Scared of Kejriwal Brand of Politics hence #GNCTDBill passed to block this Delhi Model. 
#BlackDayForDemocracy
https:/…",0,BatteryDubble,77,158,264,0,,,en
1375436014596935681,twitter.com/Shiv18Jun/status/1375436014596935681,Fri Mar 26 13:14:34 +0000 2021,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",0,Shiv18Jun,86,470,4882,0,,,en
1375435758547312642,twitter.com/WaliaRamanpreet/status/1375435758547312642,Fri Mar 26 13:13:33 +0000 2021,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",0,WaliaRamanpreet,68,345,4882,0,,,en
1375435575172366338,twitter.com/NafeesK738/status/1375435575172366338,Fri Mar 26 13:12:50 +0000 2021,"RT @sane_indian: The passing of the #GNCTDBill hardly makes a difference to the people of Delhi.

They were ruled by a Sanghi before.They w…",0,NafeesK738,150,837,3,0,,,en
1375435184133206024,twitter.com/devkahir/status/1375435184133206024,Fri Mar 26 13:11:16 +0000 2021,@AHindinews @crookedvultures @politico @AamAadmiParty @ArvindKejriwal @WHO @DelhiPolice @WOMAN @WomenintheWorld @womensmarch @business @womensright @money #launderer #anti @thenatlinterest @nationals #who #under #garbage of #FarmersProtest_BharatBandh #works 4 #khalistani @rogue #terror #heaven @radiopakistan &amp; @narendramodi @Amitshah 2 #counter this #bring #legislation #GNCTDBill @make #desperate @raghav_chadha @reallyswara,0,devkahir,469,681,0,0,,,en
1375434771539628040,twitter.com/SweetCookiesme/status/1375434771539628040,Fri Mar 26 13:09:38 +0000 2021,"RT @Roshanrules67: Chanakya Neeti to rule states:

Plan A: Divide people, win elections.
If that fails

Plan B: EVMs.
If that fails

Plan C…",0,SweetCookiesme,537,0,1,0,,,en
