id,tweet_url,created_at,class,text,screen_name,followers,friends,rt,fav,geo,coordinates,lang
1.37E+18,twitter.com/Shubham41795193/status/1373619166511435777,Sun Mar 21 12:55:04 +0000 2021,0,"RT @arupsar1997: @sonal_shimpi @AIRAAAOFFICIAL @ShivaGopalMish1 @AIRF15853780 Please think about the Rail Apprentice.

@PiyushGoyal
@narend…",Shubham41795193,83,5,3,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618896477900803,Sun Mar 21 12:54:00 +0000 2021,0,"RT @BRIJESH80715243: Has the the Youths of the nation earned their degrees just to fry pakodas to earn their living?

#RailApprentice_Ko_Ro…",Shubham41795193,83,5,7,0,,,en
1.37E+18,twitter.com/Vedantkumarsi11/status/1373618840391675907,Sun Mar 21 12:53:46 +0000 2021,0,#modi_rojgar_do,Vedantkumarsi11,0,30,0,0,,,und
1.37E+18,twitter.com/Shubham41795193/status/1373618790995435521,Sun Mar 21 12:53:35 +0000 2021,0,"RT @AjeetSi05713097: #मोदी_मतलब_देश_चौपट
This news story kind of sums the plight of middle class that is the victim of systemic discripanci…",Shubham41795193,83,5,1,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618716965933063,Sun Mar 21 12:53:17 +0000 2021,0,RT @KailasSabale2: 1.Scrap20%RRC Quota 4rail apprentices. 2.We r already qualified in ITI &amp; AITT exams with 3 yrs training. 3. So don't con…,Shubham41795193,83,5,2,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618692659896330,Sun Mar 21 12:53:11 +0000 2021,0,"RT @Rajeev2906: Railway Act Apprentice need job
@PMOIndia @PiyushGoyal @RailMinIndia @IR_CRB 
#modi_rojgar_do #RailApprentice_Ko_Rojgar_Do",Shubham41795193,83,5,13,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618354129276928,Sun Mar 21 12:51:50 +0000 2021,0,"RT @Prince_pandit_: It's Our Right :
1️⃣Timely examination
2️⃣Timely results
3️⃣Timely postings
4️⃣ Recruit new vacancies
5️⃣Reforms in rec…",Shubham41795193,83,5,3,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618340111904772,Sun Mar 21 12:51:47 +0000 2021,0,"RT @MOHANKKHADSE1: @RailMinIndia @PiyushGoyal We want Job...
#RailApprentice_Ko_Rojgar_Do
#modi_rojgar_do",Shubham41795193,83,5,12,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618267881758722,Sun Mar 21 12:51:30 +0000 2021,0,"RT @daring_chintu: We dont want 15 lakh rs.. We want only job based on our qualification..
#modi_rojgaar_do #modi_rojgar_do #RailApprentice…",Shubham41795193,83,5,9,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618241172508673,Sun Mar 21 12:51:23 +0000 2021,0,"RT @RohitGuptaGolu1: #railapprentice_ko_rojgar_do
#modi_rojgar_do
Promise : 2 crore jobs
Reality : 1.8 crore jobs lost. 

This is just the…",Shubham41795193,83,5,22,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618091477721091,Sun Mar 21 12:50:48 +0000 2021,0,"RT @Khurapati__: .
Honorable @PiyushGoyal ji,
We all course completed Railway Act Apprentices constantly doing protests, rallies campaigns…",Shubham41795193,83,5,4,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618050520420357,Sun Mar 21 12:50:38 +0000 2021,0,"RT @IamAslamAhmadSP: Dear @PMOIndia,
You have done Demonetization, Lockdown, Election results, SC opening for Arnab in one day.
Now we are…",Shubham41795193,83,5,29,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618037132120072,Sun Mar 21 12:50:35 +0000 2021,0,"RT @MOHANKKHADSE1: @HansrajMeena We want Job...
#RailApprentice_Ko_Rojgar_Do
#modi_rojgar_do",Shubham41795193,83,5,11,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618022120755212,Sun Mar 21 12:50:31 +0000 2021,0,RT @SulendraNayak: #RailApprentice_Ko_Rojgar_Do #modi_rojgar_do #railapprenticesawaitjustice #railwayapprenticesprotests #skilldindia rail…,Shubham41795193,83,5,2,0,,,en
1.37E+18,twitter.com/Shubham41795193/status/1373618006819966987,Sun Mar 21 12:50:28 +0000 2021,0,"RT @SMArif77337142: Where is 2 crore jobs every year?
Gives reply.......🙏
#RailApprentice_Ko_Rojgar_Do
#modi_rojgar_do
#modi_job_do
#Narend…",Shubham41795193,83,5,4,0,,,en
1.37E+18,twitter.com/himansh18314158/status/1373617990915227648,Sun Mar 21 12:50:24 +0000 2021,0,"#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do 
#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do",himansh18314158,10,0,0,0,,,und
1.37E+18,twitter.com/Shubham41795193/status/1373617897839288320,Sun Mar 21 12:50:02 +0000 2021,1,RT @Amardeep_1408: And 21st century Einstein fighting for Rojgar #modi_rojgar_दो #modi_rojgar_do #RailApprentice_Ko_Rojgar_Do #मोदी_रोजगार_…,Shubham41795193,83,5,10,0,,,en
1.37E+18,twitter.com/himansh18314158/status/1373617281884844038,Sun Mar 21 12:47:35 +0000 2021,0,"#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do 
#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do 
#modi_jawab_do… https://t.co/WKQUxcIjJO",himansh18314158,10,0,0,0,,,und
1.37E+18,twitter.com/himansh18314158/status/1373616981778210818,Sun Mar 21 12:46:23 +0000 2021,0,"#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do 
#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do 
#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do",himansh18314158,10,0,0,0,,,und
1.37E+18,twitter.com/Shubham41795193/status/1373616660498632704,Sun Mar 21 12:45:07 +0000 2021,0,"RT @IamAslamAhmadSP: This is New India. This is Modi_Fied Bharat.
When the youths are suffering by severe job crisis, the govt is in sleepi…",Shubham41795193,83,5,10,0,,,en
